SID,LastLat,LastLon,LastWind,LandfallLat,LandfallLon,LastDir,LastSpeed
1842298N11080,10.8188,78.8772,0.0,10.8,78.4,267.0,9.0
1877135N10083,25.0344,87.3956,0.0,25.2,87.4,0.0,4.0
1877192N21090,23.1363,79.0487,0.0,23.2447,78.2885,279.0,14.0
1877218N21090,24.2573,89.5989,0.0,24.4,89.6,3.0,3.0
1877220N22092,23.7667,91.067,0.0,23.9,91.0,335.0,4.0
1877226N21089,24.9385,88.1008,0.0,25.2,88.1,358.0,6.0
1877230N20091,23.1594,89.2657,0.0,23.3,89.2,336.0,4.0
1877241N20088,22.6501,86.5044,0.0,22.8,86.4,327.0,4.0
1877249N20088,25.4635,85.6,0.0,25.5,85.6,11.0,1.0
1877307N18091,21.2604,91.7968,0.0,21.4,91.8,0.0,3.0
1878202N18087,25.0686,78.6423,0.0,25.1875,78.1546,290.0,10.0
1878215N20086,21.9012,82.7018,0.0,22.1,82.4,306.0,8.0
1878218N20089,23.4216,80.8478,0.0,23.6,80.5,298.0,9.0
1878256N19090,21.6844,78.4985,0.0,21.6888,78.1806,269.0,5.0
1878261N18090,24.9833,88.3167,0.0,25.2,88.3,0.0,5.0
1878287N16084,17.1833,83.3334,0.0,17.3,83.3,344.0,3.0
1878301N15084,17.548,82.5023,0.0,17.7,82.4,327.0,4.0
1878308N16084,19.1386,81.9357,0.0,19.3,81.8,322.0,5.0
1878339N17087,18.1449,82.5918,0.0,18.2,82.5,307.0,2.0
1879140N13081,13.3835,80.0167,0.0,13.4,79.9,275.0,3.0
1879149N21087,22.5392,80.1763,0.0,22.6,79.8,280.0,9.0
1879220N21088,25.2024,78.8441,0.0,25.3,78.7,308.0,4.0
1879256N21090,21.872,84.2792,0.0,21.9,84.0,276.0,6.0
1879265N20089,21.4382,78.3222,0.0,21.4789,78.0952,278.0,5.0
1879284N19092,23.74,85.9987,0.0,24.1,86.0,359.0,9.0
1879299N20092,22.8167,91.8,0.0,23.1,91.8,358.0,7.0
1879305N15097,19.5167,94.697,0.0,19.6,94.6,314.0,3.0
1879322N13081,14.1835,79.8169,0.0,14.3,79.7,319.0,4.0
1880153N20089,24.6333,87.7021,0.0,24.8,87.7,358.0,4.0
1880177N19088,22.3481,81.0377,0.0,22.4,80.9,290.0,3.0
1880196N20089,24.1558,80.7655,0.0,24.3,80.6,315.0,5.0
1880214N20088,23.6371,78.2232,0.0,23.7387,78.0945,311.0,3.0
1880233N21089,25.4677,86.6467,0.0,25.6,86.7,22.0,3.0
