region,strength,fhr,dlat,dlon
west,weak,0.0,0.0,-0.0
west,weak,12.0,0.026200149348585958,-0.0455979822052749
west,weak,24.0,0.052400298697171915,-0.0911959644105498
west,weak,36.0,0.07860044804575787,-0.13679394661582472
west,weak,48.0,0.10480059739434383,-0.1823919288210996
west,weak,72.0,0.15720089609151575,-0.27358789323164945
west,weak,96.0,0.15720089609151575,-0.27358789323164945
west,strong,0.0,0.0,-0.0
west,strong,12.0,0.0302028700675823,-0.02602949640287772
west,strong,24.0,0.0604057401351646,-0.05205899280575544
west,strong,36.0,0.09060861020274691,-0.07808848920863316
west,strong,48.0,0.1208114802703292,-0.10411798561151088
west,strong,72.0,0.18121722040549382,-0.15617697841726633
west,strong,96.0,0.18121722040549382,-0.15617697841726633
east,weak,0.0,0.0,0.0
east,weak,12.0,0.03895048263888889,0.01673579861111112
east,weak,24.0,0.07790096527777778,0.03347159722222224
east,weak,36.0,0.11685144791666667,0.05020739583333336
east,weak,48.0,0.15580193055555555,0.06694319444444448
east,weak,72.0,0.23370289583333334,0.10041479166666673
east,weak,96.0,0.23370289583333334,0.10041479166666673
east,strong,0.0,0.0,-0.0
east,strong,12.0,0.0302028700675823,-0.02602949640287772
east,strong,24.0,0.0604057401351646,-0.05205899280575544
east,strong,36.0,0.09060861020274691,-0.07808848920863316
east,strong,48.0,0.1208114802703292,-0.10411798561151088
east,strong,72.0,0.18121722040549382,-0.15617697841726633
east,strong,96.0,0.18121722040549382,-0.15617697841726633
all,all,0.0,0.0,-0.0
all,all,12.0,0.0302028700675823,-0.02602949640287772
all,all,24.0,0.0604057401351646,-0.05205899280575544
all,all,36.0,0.09060861020274691,-0.07808848920863316
all,all,48.0,0.1208114802703292,-0.10411798561151088
all,all,72.0,0.18121722040549382,-0.15617697841726633
all,all,96.0,0.18121722040549382,-0.15617697841726633
