region,strength,motion,fhr,dlat,dlon
west,weak,west,0.0,0.0,-0.0
west,weak,west,12.0,0.021135022354694492,-0.06962488822652764
west,weak,west,24.0,0.042270044709388985,-0.13924977645305528
west,weak,west,36.0,0.06340506706408348,-0.20887466467958293
west,weak,west,48.0,0.08454008941877797,-0.27849955290611056
west,weak,west,72.0,0.12681013412816697,-0.41774932935916587
west,weak,west,96.0,0.12681013412816697,-0.41774932935916587
west,weak,south,0.0,-0.0,-0.0
west,weak,south,12.0,-0.034989375000000024,-0.01595625000000004
west,weak,south,24.0,-0.06997875000000005,-0.03191250000000008
west,weak,south,36.0,-0.10496812500000008,-0.047868750000000126
west,weak,south,48.0,-0.1399575000000001,-0.06382500000000016
west,weak,south,72.0,-0.20993625000000016,-0.09573750000000025
west,weak,south,96.0,-0.20993625000000016,-0.09573750000000025
west,weak,east,0.0,0.0,0.0
west,weak,east,12.0,0.01822499999999997,0.04713620689655186
west,weak,east,24.0,0.03644999999999994,0.09427241379310372
west,weak,east,36.0,0.05467499999999991,0.1414086206896556
west,weak,east,48.0,0.07289999999999988,0.18854482758620744
west,weak,east,72.0,0.10934999999999982,0.2828172413793112
west,weak,east,96.0,0.10934999999999982,0.2828172413793112
west,weak,north,0.0,0.0,-0.0
west,weak,north,12.0,0.04014494123931625,-0.011923824786324807
west,weak,north,24.0,0.0802898824786325,-0.023847649572649614
west,weak,north,36.0,0.12043482371794877,-0.035771474358974424
west,weak,north,48.0,0.160579764957265,-0.04769529914529923
west,weak,north,72.0,0.24086964743589753,-0.07154294871794885
west,weak,north,96.0,0.24086964743589753,-0.07154294871794885
west,strong,west,0.0,0.0,-0.0
west,strong,west,12.0,0.0302028700675823,-0.02602949640287772
west,strong,west,24.0,0.0604057401351646,-0.05205899280575544
west,strong,west,36.0,0.09060861020274691,-0.07808848920863316
west,strong,west,48.0,0.1208114802703292,-0.10411798561151088
west,strong,west,72.0,0.18121722040549382,-0.15617697841726633
west,strong,west,96.0,0.18121722040549382,-0.15617697841726633
west,strong,south,0.0,0.0,-0.0
west,strong,south,12.0,0.0302028700675823,-0.02602949640287772
west,strong,south,24.0,0.0604057401351646,-0.05205899280575544
west,strong,south,36.0,0.09060861020274691,-0.07808848920863316
west,strong,south,48.0,0.1208114802703292,-0.10411798561151088
west,strong,south,72.0,0.18121722040549382,-0.15617697841726633
west,strong,south,96.0,0.18121722040549382,-0.15617697841726633
west,strong,east,0.0,0.0,-0.0
west,strong,east,12.0,0.0302028700675823,-0.02602949640287772
west,strong,east,24.0,0.0604057401351646,-0.05205899280575544
west,strong,east,36.0,0.09060861020274691,-0.07808848920863316
west,strong,east,48.0,0.1208114802703292,-0.10411798561151088
west,strong,east,72.0,0.18121722040549382,-0.15617697841726633
west,strong,east,96.0,0.18121722040549382,-0.15617697841726633
west,strong,north,0.0,0.0,-0.0
west,strong,north,12.0,0.0302028700675823,-0.02602949640287772
west,strong,north,24.0,0.0604057401351646,-0.05205899280575544
west,strong,north,36.0,0.09060861020274691,-0.07808848920863316
west,strong,north,48.0,0.1208114802703292,-0.10411798561151088
west,strong,north,72.0,0.18121722040549382,-0.15617697841726633
west,strong,north,96.0,0.18121722040549382,-0.15617697841726633
east,weak,west,0.0,0.0,-0.0
east,weak,west,12.0,0.013551385542168674,-0.06307389558232941
east,weak,west,24.0,0.027102771084337347,-0.12614779116465882
east,weak,west,36.0,0.040654156626506024,-0.18922168674698825
east,weak,west,48.0,0.054205542168674695,-0.25229558232931765
east,weak,west,72.0,0.08130831325301205,-0.3784433734939765
east,weak,west,96.0,0.08130831325301205,-0.3784433734939765
east,weak,south,0.0,-0.0,0.0
east,weak,south,12.0,-0.011966666666666606,0.0007166666666667727
east,weak,south,24.0,-0.023933333333333213,0.0014333333333335454
east,weak,south,36.0,-0.03589999999999982,0.0021500000000003183
east,weak,south,48.0,-0.047866666666666426,0.002866666666667091
east,weak,south,72.0,-0.07179999999999964,0.004300000000000637
east,weak,south,96.0,-0.07179999999999964,0.004300000000000637
east,weak,east,0.0,0.0,0.0
east,weak,east,12.0,0.03241304347826089,0.06638538647343004
